,age_bucket,country_destination,gender_x,population_in_thousands_x,key_x,join_key,gender_y,population_in_thousands_y,key_y
67,20-24,CA,female,1159,20-24_CA,20-24_CA,male,1203,20-24_CA
68,40-44,CA,female,1169,40-44_CA,40-44_CA,male,1179,40-44_CA
70,90-94,CA,female,153,90-94_CA,90-94_CA,male,68,90-94_CA
72,65-69,CA,female,973,65-69_CA,65-69_CA,male,914,65-69_CA
74,5-9,CA,female,960,5-9_CA,5-9_CA,male,1011,5-9_CA
77,80-84,CA,female,422,80-84_CA,80-84_CA,male,318,80-84_CA
78,10-14,CA,female,929,10-14_CA,10-14_CA,male,983,10-14_CA
80,0-4,CA,female,991,0-4_CA,0-4_CA,male,1045,0-4_CA
82,15-19,CA,female,1009,15-19_CA,15-19_CA,male,1054,15-19_CA
85,80-84,DE,female,1486,80-84_DE,80-84_DE,male,1016,80-84_DE
87,60-64,DE,female,2799,60-64_DE,60-64_DE,male,2575,60-64_DE
89,5-9,DE,female,1690,5-9_DE,5-9_DE,male,1781,5-9_DE
91,75-79,DE,female,2421,75-79_DE,75-79_DE,male,1932,75-79_DE
92,70-74,DE,female,2362,70-74_DE,70-74_DE,male,2099,70-74_DE
95,65-69,DE,female,2134,65-69_DE,65-69_DE,male,2003,65-69_DE
97,25-29,DE,female,2495,25-29_DE,25-29_DE,male,2593,25-29_DE
99,0-4,DE,female,1713,0-4_DE,0-4_DE,male,1811,0-4_DE
101,30-34,DE,female,2571,30-34_DE,30-34_DE,male,2627,30-34_DE
103,35-39,DE,female,2402,35-39_DE,35-39_DE,male,2448,35-39_DE
105,20-24,DE,female,2161,20-24_DE,20-24_DE,male,2266,20-24_DE
106,40-44,DE,female,2559,40-44_DE,40-44_DE,male,2633,40-44_DE
109,10-14,DE,female,1800,10-14_DE,10-14_DE,male,1892,10-14_DE
110,45-49,DE,female,3357,45-49_DE,45-49_DE,male,3525,45-49_DE
112,50-54,DE,female,3513,50-54_DE,50-54_DE,male,3614,50-54_DE
114,15-19,DE,female,1974,15-19_DE,15-19_DE,male,2076,15-19_DE
116,100+,DE,female,14,100+_DE,100+_DE,male,3,100+_DE
118,95-99,DE,female,71,95-99_DE,95-99_DE,male,17,95-99_DE
120,90-94,DE,female,491,90-94_DE,90-94_DE,male,154,90-94_DE
122,55-59,DE,female,2996,55-59_DE,55-59_DE,male,2983,55-59_DE
124,85-89,DE,female,988,85-89_DE,85-89_DE,male,517,85-89_DE
127,15-19,ES,female,1027,15-19_ES,15-19_ES,male,1087,15-19_ES
129,40-44,ES,female,1924,40-44_ES,40-44_ES,male,2052,40-44_ES
131,0-4,ES,female,1198,0-4_ES,0-4_ES,male,1272,0-4_ES
133,70-74,ES,female,1040,70-74_ES,70-74_ES,male,880,70-74_ES
135,10-14,ES,female,1124,10-14_ES,10-14_ES,male,1189,10-14_ES
137,65-69,ES,female,1251,65-69_ES,65-69_ES,male,1119,65-69_ES
138,95-99,ES,female,64,95-99_ES,95-99_ES,male,22,95-99_ES
141,80-84,ES,female,843,80-84_ES,80-84_ES,male,559,80-84_ES
143,50-54,ES,female,1733,50-54_ES,50-54_ES,male,1727,50-54_ES
145,20-24,ES,female,1106,20-24_ES,20-24_ES,male,1175,20-24_ES
146,30-34,ES,female,1646,30-34_ES,30-34_ES,male,1748,30-34_ES
148,75-79,ES,female,906,75-79_ES,75-79_ES,male,688,75-79_ES
151,25-29,ES,female,1280,25-29_ES,25-29_ES,male,1347,25-29_ES
152,5-9,ES,female,1235,5-9_ES,5-9_ES,male,1307,5-9_ES
154,55-59,ES,female,1531,55-59_ES,55-59_ES,male,1479,55-59_ES
156,85-89,ES,female,563,85-89_ES,85-89_ES,male,306,85-89_ES
158,100+,ES,female,9,100+_ES,100+_ES,male,3,100+_ES
160,90-94,ES,female,256,90-94_ES,90-94_ES,male,112,90-94_ES
162,35-39,ES,female,1966,35-39_ES,35-39_ES,male,2117,35-39_ES
164,60-64,ES,female,1316,60-64_ES,60-64_ES,male,1235,60-64_ES
166,45-49,ES,female,1852,45-49_ES,45-49_ES,male,1909,45-49_ES
169,75-79,FR,female,1223,75-79_FR,75-79_FR,male,918,75-79_FR
171,25-29,FR,female,2041,25-29_FR,25-29_FR,male,2081,25-29_FR
173,55-59,FR,female,2125,55-59_FR,55-59_FR,male,1939,55-59_FR
174,90-94,FR,female,465,90-94_FR,90-94_FR,male,164,90-94_FR
177,10-14,FR,female,1894,10-14_FR,10-14_FR,male,1985,10-14_FR
179,65-69,FR,female,1985,65-69_FR,65-69_FR,male,1780,65-69_FR
181,45-49,FR,female,2220,45-49_FR,45-49_FR,male,2194,45-49_FR
182,70-74,FR,female,1317,70-74_FR,70-74_FR,male,1103,70-74_FR
184,80-84,FR,female,1137,80-84_FR,80-84_FR,male,712,80-84_FR
187,50-54,FR,female,2234,50-54_FR,50-54_FR,male,2123,50-54_FR
188,5-9,FR,female,1914,5-9_FR,5-9_FR,male,1992,5-9_FR
190,60-64,FR,female,2065,60-64_FR,60-64_FR,male,1891,60-64_FR
192,40-44,FR,female,2231,40-44_FR,40-44_FR,male,2212,40-44_FR
194,15-19,FR,female,1916,15-19_FR,15-19_FR,male,2016,15-19_FR
196,85-89,FR,female,838,85-89_FR,85-89_FR,male,405,85-89_FR
198,100+,FR,female,19,100+_FR,100+_FR,male,3,100+_FR
200,0-4,FR,female,1938,0-4_FR,0-4_FR,male,2035,0-4_FR
202,20-24,FR,female,1947,20-24_FR,20-24_FR,male,2040,20-24_FR
204,30-34,FR,female,2046,30-34_FR,30-34_FR,male,2035,30-34_FR
206,95-99,FR,female,82,95-99_FR,95-99_FR,male,20,95-99_FR
208,35-39,FR,female,1856,35-39_FR,35-39_FR,male,1842,35-39_FR
211,10-14,GB,female,1690,10-14_GB,10-14_GB,male,1771,10-14_GB
213,65-69,GB,female,1858,65-69_GB,65-69_GB,male,1735,65-69_GB
215,95-99,GB,female,81,95-99_GB,95-99_GB,male,29,95-99_GB
217,5-9,GB,female,1913,5-9_GB,5-9_GB,male,2007,5-9_GB
219,100+,GB,female,13,100+_GB,100+_GB,male,3,100+_GB
221,70-74,GB,female,1422,70-74_GB,70-74_GB,male,1273,70-74_GB
222,60-64,GB,female,1775,60-64_GB,60-64_GB,male,1693,60-64_GB
225,85-89,GB,female,602,85-89_GB,85-89_GB,male,365,85-89_GB
227,80-84,GB,female,896,80-84_GB,80-84_GB,male,661,80-84_GB
228,35-39,GB,female,1964,35-39_GB,35-39_GB,male,1979,35-39_GB
230,55-59,GB,female,1991,55-59_GB,55-59_GB,male,1925,55-59_GB
232,40-44,GB,female,2147,40-44_GB,40-44_GB,male,2101,40-44_GB
235,50-54,GB,female,2306,50-54_GB,50-54_GB,male,2220,50-54_GB
237,0-4,GB,female,1888,0-4_GB,0-4_GB,male,1981,0-4_GB
238,25-29,GB,female,2122,25-29_GB,25-29_GB,male,2213,25-29_GB
241,20-24,GB,female,1957,20-24_GB,20-24_GB,male,2061,20-24_GB
243,90-94,GB,female,310,90-94_GB,90-94_GB,male,145,90-94_GB
244,15-19,GB,female,1783,15-19_GB,15-19_GB,male,1864,15-19_GB
246,30-34,GB,female,2112,30-34_GB,30-34_GB,male,2190,30-34_GB
248,45-49,GB,female,2349,45-49_GB,45-49_GB,male,2301,45-49_GB
250,75-79,GB,female,1166,75-79_GB,75-79_GB,male,978,75-79_GB
253,20-24,IT,female,1514,20-24_IT,20-24_IT,male,1601,20-24_IT
255,15-19,IT,female,1411,15-19_IT,15-19_IT,male,1493,15-19_IT
256,10-14,IT,female,1388,10-14_IT,10-14_IT,male,1468,10-14_IT
258,100+,IT,female,15,100+_IT,100+_IT,male,3,100+_IT
260,0-4,IT,female,1383,0-4_IT,0-4_IT,male,1468,0-4_IT
262,95-99,IT,female,79,95-99_IT,95-99_IT,male,22,95-99_IT
264,90-94,IT,female,436,90-94_IT,90-94_IT,male,164,90-94_IT
266,85-89,IT,female,855,85-89_IT,85-89_IT,male,440,85-89_IT
268,80-84,IT,female,1231,80-84_IT,80-84_IT,male,808,80-84_IT
270,75-79,IT,female,1534,75-79_IT,75-79_IT,male,1191,75-79_IT
273,70-74,IT,female,1567,70-74_IT,70-74_IT,male,1338,70-74_IT
274,65-69,IT,female,1893,65-69_IT,65-69_IT,male,1716,65-69_IT
276,60-64,IT,female,1880,60-64_IT,60-64_IT,male,1749,60-64_IT
278,5-9,IT,female,1395,5-9_IT,5-9_IT,male,1473,5-9_IT
280,55-59,IT,female,2069,55-59_IT,55-59_IT,male,1976,55-59_IT
282,50-54,IT,female,2373,50-54_IT,50-54_IT,male,2322,50-54_IT
284,45-49,IT,female,2480,45-49_IT,45-49_IT,male,2476,45-49_IT
286,40-44,IT,female,2411,40-44_IT,40-44_IT,male,2428,40-44_IT
288,35-39,IT,female,2090,35-39_IT,35-39_IT,male,2117,35-39_IT
290,30-34,IT,female,1791,30-34_IT,30-34_IT,male,1814,30-34_IT
292,25-29,IT,female,1610,25-29_IT,25-29_IT,male,1673,25-29_IT
295,60-64,NL,female,524,60-64_NL,60-64_NL,male,523,60-64_NL
297,80-84,NL,female,231,80-84_NL,80-84_NL,male,158,80-84_NL
299,5-9,NL,female,450,5-9_NL,5-9_NL,male,473,5-9_NL
301,85-89,NL,female,151,85-89_NL,85-89_NL,male,78,85-89_NL
303,55-59,NL,female,580,55-59_NL,55-59_NL,male,581,55-59_NL
304,90-94,NL,female,69,90-94_NL,90-94_NL,male,25,90-94_NL
307,95-99,NL,female,15,95-99_NL,95-99_NL,male,4,95-99_NL
309,100+,NL,female,2,100+_NL,100+_NL,male,0,100+_NL
311,50-54,NL,female,636,50-54_NL,50-54_NL,male,646,50-54_NL
313,45-49,NL,female,637,45-49_NL,45-49_NL,male,650,45-49_NL
315,20-24,NL,female,504,20-24_NL,20-24_NL,male,527,20-24_NL
317,40-44,NL,female,583,40-44_NL,40-44_NL,male,582,40-44_NL
318,10-14,NL,female,493,10-14_NL,10-14_NL,male,517,10-14_NL
320,35-39,NL,female,490,35-39_NL,35-39_NL,male,490,35-39_NL
322,15-19,NL,female,484,15-19_NL,15-19_NL,male,510,15-19_NL
324,0-4,NL,female,438,0-4_NL,0-4_NL,male,462,0-4_NL
326,30-34,NL,female,497,30-34_NL,30-34_NL,male,503,30-34_NL
328,25-29,NL,female,505,25-29_NL,25-29_NL,male,518,25-29_NL
330,65-69,NL,female,527,65-69_NL,65-69_NL,male,518,65-69_NL
332,70-74,NL,female,375,70-74_NL,70-74_NL,male,351,70-74_NL
334,75-79,NL,female,295,75-79_NL,75-79_NL,male,246,75-79_NL
337,80-84,PT,female,194,80-84_PT,80-84_PT,male,122,80-84_PT
339,40-44,PT,female,418,40-44_PT,40-44_PT,male,416,40-44_PT
341,65-69,PT,female,313,65-69_PT,65-69_PT,male,267,65-69_PT
343,60-64,PT,female,341,60-64_PT,60-64_PT,male,308,60-64_PT
345,85-89,PT,female,115,85-89_PT,85-89_PT,male,59,85-89_PT
347,15-19,PT,female,266,15-19_PT,15-19_PT,male,277,15-19_PT
348,90-94,PT,female,45,90-94_PT,90-94_PT,male,19,90-94_PT
351,25-29,PT,female,299,25-29_PT,25-29_PT,male,309,25-29_PT
353,95-99,PT,female,9,95-99_PT,95-99_PT,male,3,95-99_PT
355,55-59,PT,female,366,55-59_PT,55-59_PT,male,343,55-59_PT
357,100+,PT,female,1,100+_PT,100+_PT,male,0,100+_PT
359,75-79,PT,female,244,75-79_PT,75-79_PT,male,177,75-79_PT
360,35-39,PT,female,414,35-39_PT,35-39_PT,male,419,35-39_PT
363,50-54,PT,female,397,50-54_PT,50-54_PT,male,378,50-54_PT
365,10-14,PT,female,269,10-14_PT,10-14_PT,male,285,10-14_PT
366,0-4,PT,female,225,0-4_PT,0-4_PT,male,239,0-4_PT
368,5-9,PT,female,250,5-9_PT,5-9_PT,male,264,5-9_PT
370,45-49,PT,female,395,45-49_PT,45-49_PT,male,386,45-49_PT
372,20-24,PT,female,275,20-24_PT,20-24_PT,male,285,20-24_PT
374,70-74,PT,female,270,70-74_PT,70-74_PT,male,214,70-74_PT
377,30-34,PT,female,362,30-34_PT,30-34_PT,male,371,30-34_PT
379,90-94,US,female,1193,90-94_US,90-94_US,male,541,90-94_US
381,10-14,US,female,10346,10-14_US,10-14_US,male,10771,10-14_US
383,100+,US,female,61,100+_US,100+_US,male,13,100+_US
385,95-99,US,female,361,95-99_US,95-99_US,male,115,95-99_US
386,5-9,US,female,10201,5-9_US,5-9_US,male,10632,5-9_US
389,85-89,US,female,2459,85-89_US,85-89_US,male,1441,85-89_US
391,80-84,US,female,3394,80-84_US,80-84_US,male,2442,80-84_US
392,75-79,US,female,4532,75-79_US,75-79_US,male,3641,75-79_US
394,70-74,US,female,6179,70-74_US,70-74_US,male,5278,70-74_US
396,65-69,US,female,8483,65-69_US,65-69_US,male,7561,65-69_US
398,60-64,US,female,10004,60-64_US,60-64_US,male,9217,60-64_US
400,55-59,US,female,11264,55-59_US,55-59_US,male,10689,55-59_US
402,50-54,US,female,11413,50-54_US,50-54_US,male,11013,50-54_US
404,45-49,US,female,10659,45-49_US,45-49_US,male,10454,45-49_US
406,0-4,US,female,10306,0-4_US,0-4_US,male,10788,0-4_US
408,40-44,US,female,10308,40-44_US,40-44_US,male,10159,40-44_US
410,35-39,US,female,10352,35-39_US,35-39_US,male,10329,35-39_US
412,30-34,US,female,10863,30-34_US,30-34_US,male,10984,30-34_US
414,25-29,US,female,11011,25-29_US,25-29_US,male,11385,25-29_US
416,20-24,US,female,11094,20-24_US,20-24_US,male,11601,20-24_US
418,15-19,US,female,10570,15-19_US,15-19_US,male,11025,15-19_US
